QBlade CE v2.0.7_beta windows

 Calculated polar for: NACA 4412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.075 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
0.000    0.3575   0.02456  0.01658  -0.0992  0.0000   0.0000   0.0000   0.0000   0.0000   
0.100    0.3775   0.02445  0.01639  -0.1006  0.0000   0.0000   0.0000   0.0000   0.0000   
0.200    0.3859   0.02462  0.01651  -0.1003  0.0000   0.0000   0.0000   0.0000   0.0000   
0.300    0.4039   0.02452  0.01634  -0.1013  0.0000   0.0000   0.0000   0.0000   0.0000   
0.400    0.4140   0.02465  0.01642  -0.1011  0.0000   0.0000   0.0000   0.0000   0.0000   
0.500    0.4298   0.02460  0.01631  -0.1018  0.0000   0.0000   0.0000   0.0000   0.0000   
0.600    0.4492   0.02443  0.01608  -0.1029  0.0000   0.0000   0.0000   0.0000   0.0000   
0.700    0.4552   0.02469  0.01630  -0.1022  0.0000   0.0000   0.0000   0.0000   0.0000   
0.800    0.4736   0.02453  0.01609  -0.1031  0.0000   0.0000   0.0000   0.0000   0.0000   
0.900    0.4803   0.02477  0.01629  -0.1025  0.0000   0.0000   0.0000   0.0000   0.0000   
1.000    0.4975   0.02464  0.01612  -0.1033  0.0000   0.0000   0.0000   0.0000   0.0000   
1.100    0.5059   0.02484  0.01628  -0.1029  0.0000   0.0000   0.0000   0.0000   0.0000   
1.200    0.5211   0.02477  0.01617  -0.1034  0.0000   0.0000   0.0000   0.0000   0.0000   
1.300    0.5395   0.02456  0.01592  -0.1043  0.0000   0.0000   0.0000   0.0000   0.0000   
1.500    0.5621   0.02471  0.01601  -0.1041  0.0000   0.0000   0.0000   0.0000   0.0000   
1.600    0.5682   0.02501  0.01629  -0.1034  0.0000   0.0000   0.0000   0.0000   0.0000   
1.700    0.5844   0.02487  0.01612  -0.1040  0.0000   0.0000   0.0000   0.0000   0.0000   
1.800    0.5926   0.02509  0.01632  -0.1036  0.0000   0.0000   0.0000   0.0000   0.0000   
1.900    0.6064   0.02505  0.01626  -0.1038  0.0000   0.0000   0.0000   0.0000   0.0000   
2.000    0.6240   0.02483  0.01601  -0.1045  0.0000   0.0000   0.0000   0.0000   0.0000   
2.100    0.6285   0.02524  0.01641  -0.1036  0.0000   0.0000   0.0000   0.0000   0.0000   
2.200    0.6451   0.02506  0.01620  -0.1042  0.0000   0.0000   0.0000   0.0000   0.0000   
2.300    0.6510   0.02541  0.01655  -0.1035  0.0000   0.0000   0.0000   0.0000   0.0000   
2.400    0.6659   0.02531  0.01643  -0.1038  0.0000   0.0000   0.0000   0.0000   0.0000   
2.600    0.6868   0.02556  0.01665  -0.1035  0.0000   0.0000   0.0000   0.0000   0.0000   
2.800    0.7081   0.02579  0.01687  -0.1032  0.0000   0.0000   0.0000   0.0000   0.0000   
2.900    0.7236   0.02565  0.01671  -0.1035  0.0000   0.0000   0.0000   0.0000   0.0000   
3.000    0.7305   0.02597  0.01703  -0.1030  0.0000   0.0000   0.0000   0.0000   0.0000   
3.100    0.7435   0.02596  0.01701  -0.1031  0.0000   0.0000   0.0000   0.0000   0.0000   
3.200    0.7606   0.02573  0.01677  -0.1036  0.0000   0.0000   0.0000   0.0000   0.0000   
3.300    0.7638   0.02627  0.01732  -0.1026  0.0000   0.0000   0.0000   0.0000   0.0000   
3.400    0.7797   0.02609  0.01713  -0.1030  0.0000   0.0000   0.0000   0.0000   0.0000   
3.500    0.7848   0.02653  0.01758  -0.1023  0.0000   0.0000   0.0000   0.0000   0.0000   
3.600    0.7989   0.02646  0.01751  -0.1025  0.0000   0.0000   0.0000   0.0000   0.0000   
3.800    0.8183   0.02682  0.01788  -0.1019  0.0000   0.0000   0.0000   0.0000   0.0000   
